Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","129","Madagascar","5510","Production","656","Coffee, green","2019","2019","tonnes","65760","","Official data"
"QCL","Crops and livestock products","130","Malawi","5312","Area harvested","656","Coffee, green","2019","2019","ha","5136","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","130","Malawi","5419","Yield","656","Coffee, green","2019","2019","hg/ha","21556","Fc","Calculated data"
"QCL","Crops and livestock products","130","Malawi","5510","Production","656","Coffee, green","2019","2019","tonnes","11071","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","656","Coffee, green","2019","2019","ha","1576","","Official data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","656","Coffee, green","2019","2019","hg/ha","22582","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","656","Coffee, green","2019","2019","tonnes","3559","","Official data"
"QCL","Crops and livestock products","137","Mauritius","5312","Area harvested","656","Coffee, green","2019","2019","ha","","M","Data not available"
"QCL","Crops and livestock products","137","Mauritius","5510","Production","656","Coffee, green","2019","2019","tonnes","","M","Data not available"
"QCL","Crops and livestock products","138","Mexico","5312","Area harvested","656","Coffee, green","2019","2019","ha","629300","","Official data"
"QCL","Crops and livestock products","138","Mexico","5419","Yield","656","Coffee, green","2019","2019","hg/ha","2633","Fc","Calculated data"
"QCL","Crops and livestock products","138","Mexico","5510","Production","656","Coffee, green","2019","2019","tonnes","165712","","Official data"
"QCL","Crops and livestock products","144","Mozambique","5312","Area harvested","656","Coffee, green","2019","2019","ha","863","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","144","Mozambique","5419","Yield","656","Coffee, green","2019","2019","hg/ha","9583","Fc","Calculated data"
"QCL","Crops and livestock products","144","Mozambique","5510","Production","656","Coffee, green","2019","2019","tonnes","827","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","656","Coffee, green","2019","2019","ha","12772","","Official data"
"QCL","Crops and livestock products","28","Myanmar","5419","Yield","656","Coffee, green","2019","2019","hg/ha","6866","Fc","Calculated data"
"QCL","Crops and livestock products","28","Myanmar","5510","Production","656","Coffee, green","2019","2019","tonnes","8769","","Official data"
"QCL","Crops and livestock products","149","Nepal","5312","Area harvested","656","Coffee, green","2019","2019","ha","2876","","Official data"
"QCL","Crops and livestock products","149","Nepal","5419","Yield","656","Coffee, green","2019","2019","hg/ha","2222","Fc","Calculated data"
"QCL","Crops and livestock products","149","Nepal","5510","Production","656","Coffee, green","2019","2019","tonnes","639","","Official data"
"QCL","Crops and livestock products","153","New Caledonia","5312","Area harvested","656","Coffee, green","2019","2019","ha","17","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","153","New Caledonia","5419","Yield","656","Coffee, green","2019","2019","hg/ha","1176","Fc","Calculated data"
"QCL","Crops and livestock products","153","New Caledonia","5510","Production","656","Coffee, green","2019","2019","tonnes","2","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","157","Nicaragua","5312","Area harvested","656","Coffee, green","2019","2019","ha","180416","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","157","Nicaragua","5419","Yield","656","Coffee, green","2019","2019","hg/ha","9644","Fc","Calculated data"
"QCL","Crops and livestock products","157","Nicaragua","5510","Production","656","Coffee, green","2019","2019","tonnes","174000","*","Unofficial figure"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","656","Coffee, green","2019","2019","ha","868","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","656","Coffee, green","2019","2019","hg/ha","12869","Fc","Calculated data"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","656","Coffee, green","2019","2019","tonnes","1117","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","166","Panama","5312","Area harvested","656","Coffee, green","2019","2019","ha","16117","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","166","Panama","5419","Yield","656","Coffee, green","2019","2019","hg/ha","4467","Fc","Calculated data"
"QCL","Crops and livestock products","166","Panama","5510","Production","656","Coffee, green","2019","2019","tonnes","7200","*","Unofficial figure"
"QCL","Crops and livestock products","168","Papua New Guinea","5312","Area harvested","656","Coffee, green","2019","2019","ha","52197","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","168","Papua New Guinea","5419","Yield","656","Coffee, green","2019","2019","hg/ha","10658","Fc","Calculated data"
"QCL","Crops and livestock products","168","Papua New Guinea","5510","Production","656","Coffee, green","2019","2019","tonnes","55634","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","169","Paraguay","5312","Area harvested","656","Coffee, green","2019","2019","ha","310","","Official data"
"QCL","Crops and livestock products","169","Paraguay","5419","Yield","656","Coffee, green","2019","2019","hg/ha","12871","Fc","Calculated data"
"QCL","Crops and livestock products","169","Paraguay","5510","Production","656","Coffee, green","2019","2019","tonnes","399","","Official data"
"QCL","Crops and livestock products","170","Peru","5312","Area harvested","656","Coffee, green","2019","2019","ha","359508","","Official data"
"QCL","Crops and livestock products","170","Peru","5419","Yield","656","Coffee, green","2019","2019","hg/ha","10105","Fc","Calculated data"
"QCL","Crops and livestock products","170","Peru","5510","Production","656","Coffee, green","2019","2019","tonnes","363291","","Official data"
"QCL","Crops and livestock products","171","Philippines","5312","Area harvested","656","Coffee, green","2019","2019","ha","112024","","Official data"
"QCL","Crops and livestock products","171","Philippines","5419","Yield","656","Coffee, green","2019","2019","hg/ha","5360","Fc","Calculated data"
"QCL","Crops and livestock products","171","Philippines","5510","Production","656","Coffee, green","2019","2019","tonnes","60044","","Official data"
"QCL","Crops and livestock products","177","Puerto Rico","5312","Area harvested","656","Coffee, green","2019","2019","ha","4885","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","177","Puerto Rico","5419","Yield","656","Coffee, green","2019","2019","hg/ha","6301","Fc","Calculated data"
"QCL","Crops and livestock products","177","Puerto Rico","5510","Production","656","Coffee, green","2019","2019","tonnes","3078","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","184","Rwanda","5312","Area harvested","656","Coffee, green","2019","2019","ha","21793","","Official data"
"QCL","Crops and livestock products","184","Rwanda","5419","Yield","656","Coffee, green","2019","2019","hg/ha","13475","Fc","Calculated data"
"QCL","Crops and livestock products","184","Rwanda","5510","Production","656","Coffee, green","2019","2019","tonnes","29366","","Official data"
"QCL","Crops and livestock products","189","Saint Lucia","5312","Area harvested","656","Coffee, green","2019","2019","ha","","M","Data not available"
"QCL","Crops and livestock products","189","Saint Lucia","5510","Production","656","Coffee, green","2019","2019","tonnes","","M","Data not available"
"QCL","Crops and livestock products","191","Saint Vincent and the Grenadines","5312","Area harvested","656","Coffee, green","2019","2019","ha","585","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","191","Saint Vincent and the Grenadines","5419","Yield","656","Coffee, green","2019","2019","hg/ha","3111","Fc","Calculated data"
"QCL","Crops and livestock products","191","Saint Vincent and the Grenadines","5510","Production","656","Coffee, green","2019","2019","tonnes","182","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","244","Samoa","5312","Area harvested","656","Coffee, green","2019","2019","ha","40","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","244","Samoa","5419","Yield","656","Coffee, green","2019","2019","hg/ha","3000","Fc","Calculated data"
"QCL","Crops and livestock products","244","Samoa","5510","Production","656","Coffee, green","2019","2019","tonnes","12","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","193","Sao Tome and Principe","5312","Area harvested","656","Coffee, green","2019","2019","ha","176","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","193","Sao Tome and Principe","5419","Yield","656","Coffee, green","2019","2019","hg/ha","398","Fc","Calculated data"
"QCL","Crops and livestock products","193","Sao Tome and Principe","5510","Production","656","Coffee, green","2019","2019","tonnes","7","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","194","Saudi Arabia","5312","Area harvested","656","Coffee, green","2019","2019","ha","0","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","194","Saudi Arabia","5510","Production","656","Coffee, green","2019","2019","tonnes","0","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","197","Sierra Leone","5312","Area harvested","656","Coffee, green","2019","2019","ha","9398","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","197","Sierra Leone","5419","Yield","656","Coffee, green","2019","2019","hg/ha","20553","Fc","Calculated data"
"QCL","Crops and livestock products","197","Sierra Leone","5510","Production","656","Coffee, green","2019","2019","tonnes","19316","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","38","Sri Lanka","5312","Area harvested","656","Coffee, green","2019","2019","ha","5740","","Official data"
"QCL","Crops and livestock products","38","Sri Lanka","5419","Yield","656","Coffee, green","2019","2019","hg/ha","8514","Fc","Calculated data"
"QCL","Crops and livestock products","38","Sri Lanka","5510","Production","656","Coffee, green","2019","2019","tonnes","4887","","Official data"
"QCL","Crops and livestock products","207","Suriname","5312","Area harvested","656","Coffee, green","2019","2019","ha","225","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","207","Suriname","5419","Yield","656","Coffee, green","2019","2019","hg/ha","267","Fc","Calculated data"
"QCL","Crops and livestock products","207","Suriname","5510","Production","656","Coffee, green","2019","2019","tonnes","6","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","216","Thailand","5312","Area harvested","656","Coffee, green","2019","2019","ha","36804","","Official data"
"QCL","Crops and livestock products","216","Thailand","5419","Yield","656","Coffee, green","2019","2019","hg/ha","6688","Fc","Calculated data"
"QCL","Crops and livestock products","216","Thailand","5510","Production","656","Coffee, green","2019","2019","tonnes","24614","","Official data"
"QCL","Crops and livestock products","176","Timor-Leste","5312","Area harvested","656","Coffee, green","2019","2019","ha","123077","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","176","Timor-Leste","5419","Yield","656","Coffee, green","2019","2019","hg/ha","2019","Fc","Calculated data"
"QCL","Crops and livestock products","176","Timor-Leste","5510","Production","656","Coffee, green","2019","2019","tonnes","24855","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","217","Togo","5312","Area harvested","656","Coffee, green","2019","2019","ha","42691","","Official data"
"QCL","Crops and livestock products","217","Togo","5419","Yield","656","Coffee, green","2019","2019","hg/ha","4993","Fc","Calculated data"
"QCL","Crops and livestock products","217","Togo","5510","Production","656","Coffee, green","2019","2019","tonnes","21316","","Official data"
"QCL","Crops and livestock products","219","Tonga","5312","Area harvested","656","Coffee, green","2019","2019","ha","11","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","219","Tonga","5419","Yield","656","Coffee, green","2019","2019","hg/ha","14545","Fc","Calculated data"
"QCL","Crops and livestock products","219","Tonga","5510","Production","656","Coffee, green","2019","2019","tonnes","16","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","220","Trinidad and Tobago","5312","Area harvested","656","Coffee, green","2019","2019","ha","157","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","220","Trinidad and Tobago","5419","Yield","656","Coffee, green","2019","2019","hg/ha","1465","Fc","Calculated data"
"QCL","Crops and livestock products","220","Trinidad and Tobago","5510","Production","656","Coffee, green","2019","2019","tonnes","23","Im","FAO data based on imputation methodology"
